ticker,cusip,isin,weight,order_time,order_type
AGG,464287226,US4642872265,0.08774008421129403,MOC,default
IEF,464287440,US4642874402,0.07968244980662492,MOC,default
HYG,464288513,US4642885135,0.09166399244776452,MOC,default
SPY,78462F103,US78462F1030,0.009350838703880796,MOC,default
QQQ,46090E103,US46090E1038,0.008027663903321781,MOC,default
VTI,922908769,US9229087690,0.009322666155051734,MOC,default
IWM,464287655,US4642876555,0.008418996801092515,MOC,default
EFA,464287465,US4642874659,0.012478780081745366,MOC,default
VIG,921908844,US9219088443,0.012159650395827448,MOC,default
GLD,78463V107,US78463V1070,0.02673998797111278,MOC,default
DBC,46138B103,US46138B1035,0.03648323752572314,MOC,default
SLV,46428Q109,US46428Q1094,0.01793165199656103,MOC,default
ALLW,78470P630,US78470P6300,0.45,MOC,default
AOA,464289859,US4642898591,0.15,MOC,default
